"trade_date","close_price","drawdown_percentage"
"2020-04-06","20669.38","-0.5416260190367294"
"2020-04-07","20925.19","-0.5359530550644083"
"2020-04-08","21073.26","-0.5326693844675529"
"2020-04-03","21094.62","-0.5321956949696881"
"2020-04-01","21100.54","-0.5320644102399428"
